NAME,ADDRESS,PHONE,LAT,LONG
West Orange Diner,"270 Main St, West Orange, NJ",(973) 736-8333,40.7868106,-74.2321152
Town Square Diner,"320 Route 15, Wharton, NJ",(201) 366-7244,40.9046153,-74.5689727
Sunlight Diner,"590 Belleville Turnpike, Kearny, NJ",(973) 997-9150,40.77035,-74.127999
Woodstown Diner Restaurant &amp; Lounge,"16 East ave, Woodstown, NJ",(609) 769-1140,39.6509969,-75.327078
Eagle Rock Diner and Restaurant,"410 Eagle Rock ave., West Orange, NJ",(973) 325-9057,40.8022996,-74.2450923
Golden Dawn Diner II,"2090 White Horse  Mercerville Rd., Mercerville, NJ",(609) 890-2606,40.22603520000001,-74.68773279999999
Jackson Hole Diner,"362 Grand Ave., Englewood, NJ",(201) 871-7444,40.8814255,-73.9787748
Nautilis Diner,"97 Main St, Madison, NJ",(201) 337-8484,40.7575069,-74.413766
Union Square Diner,"580 North Ave, Union, NJ",(908) 354-0054,40.6743785,-74.2296573
Golden Corner,"313 W. Union Ave., Bound Brook, NJ",(908) 469-3350,40.5678572,-74.54291549999999
Broadway Diner,"55 River Rd., Summit, NJ",(908) 273-4353,40.730904,-74.3745656
Greenwood Diner,"9 Marshall Hill Rd., West Milford, NJ",(973) 728-8941,41.13151080000001,-74.36694539999999
Hamilton Diner,"811 Route 33, Hamilton, NJ",(609) 890-2992,40.2302615,-74.67537899999999
White Star Restaurant,"100 Maple Ave, South Plainfield, NJ",(908) 561-0850,40.5823163,-74.4137636
Michael's Diner &amp; Bat,"185 Frelinghuysen, Newark, NJ",(973) 824-5990,40.7152726,-74.1878322
River Edge Diner,"516 Kinderkamack Rd, River Edge, NJ",(201) 262-4976,40.9251157,-74.03413789999999
Crystal Lake Diner,"572 Cuthbert Blvd., Haddon Township, NJ",(609) 854-1965,39.9220627,-75.0555787
Grand Street Diner,"246 Grand St., Paterson, NJ",(973) 881-8288,40.9104574,-74.1777206
Americana Diner Restaurant,"475 Route 46 East, Belvidere, NJ",(908) 475-3144,40.8403283,-75.0363162
Franklin Diner,"841 Hamilton St., Somerset, NJ",(908) 249-3252,40.4890042,-74.4796829
East Orange Diner,"431 Main St., East Orange, NJ",(973) 672-7390,40.7638677,-74.2145322
New Manasquan Diner and Family Restaurant,"164 Main St., Manasquan, NJ",(908) 223-6618,40.1223192,-74.04915199999999
White Tower,"1714 Pacific Ave, Atlantic City, NJ",(609) 344-9376,39.3588403,-74.4313482
New Heritage Diner,"80 River St., Hackensack, NJ",(201) 342-6757,40.8808061,-74.04125900000001
Pine Brook Grill,"466 Lincoln Turnpike, Lincoln Park, NJ",(201) 305-9005,40.900552,-74.27395299999999
Larry's Dinette,"905 S. 4th, Harrison, NJ",(201) 485-9763,40.752171,-74.1575225
Tommy's Diner,"235 Paterson Ave, Wallington, NJ",(201) 773-6180,40.8477008,-74.11217529999999
